duration_s,active,3V7_WL_SW_A current(0),3V3_SYS_A current(1),1V8_SYS_A current(2),DDR_VDD2_A current(3),DDR_VDDQ_A current(4),1V1_SYS_A current(5),0V8_SW_A current(6),VDD_CORE_A current(7),3V3_DAC_A current(17),3V3_ADC_A current(18),0V8_AON_A current(16),HDMI_A current(22),3V7_WL_SW_V volt(8),3V3_SYS_V volt(9),1V8_SYS_V volt(10),DDR_VDD2_V volt(11),DDR_VDDQ_V volt(12),1V1_SYS_V volt(13),0V8_SW_V volt(14),VDD_CORE_V volt(15),3V3_DAC_V volt(20),3V3_ADC_V volt(21),0V8_AON_V volt(19),HDMI_V volt(23),EXT5V_V volt(24),BATT_V volt(25)
0.000000,0,0.000000,0.137606,0.247886,0.102473,0.013235,0.183475,0.346455,0.928720,0.000000,0.000061,0.002747,0.000000,3.741535,3.311889,1.805615,1.110255,0.600366,1.105860,0.798900,0.885371,3.322341,3.318678,0.801465,5.112100,5.141580,0.000000
0.050065,0,0.003904,0.122967,0.240079,0.001952,0.000000,0.179571,0.275212,0.767980,0.000000,0.000488,0.002808,0.000000,3.719264,3.322097,1.803173,1.112087,0.605860,1.108058,0.800732,0.883223,3.326004,3.314099,0.801757,5.130860,5.132200,0.000000
0.100056,0,0.000976,0.132726,0.240079,0.005856,0.000000,0.179571,0.278140,0.759050,0.000000,0.000000,0.002991,0.000000,3.726687,3.316529,1.812941,1.105860,0.608791,1.109156,0.799999,0.882954,3.320509,3.316846,0.801465,5.132200,5.124160,0.000000
0.150055,0,0.000000,0.136630,0.242031,0.003904,0.000000,0.191282,0.275212,0.598310,0.000000,0.000488,0.002930,0.000000,3.737823,3.325809,1.814894,1.107325,0.614285,1.104761,0.799999,0.772551,3.320509,3.317762,0.801757,5.133540,5.125500,0.000000
0.200055,0,0.002928,0.129799,0.239103,0.003904,0.000000,0.180547,0.275212,0.580450,0.000000,0.000000,0.002869,0.000000,3.726687,3.307249,1.804638,1.108790,0.613919,1.104394,0.801464,0.772551,3.320509,3.316846,0.801465,5.132200,5.128180,0.000000
0.250056,0,0.000000,0.130775,0.239103,0.006832,0.000000,0.177619,0.274236,0.562590,0.000000,0.000244,0.002869,0.000000,3.736895,3.310033,1.807080,1.110255,0.613919,1.105860,0.799999,0.751599,3.319594,3.315931,0.801171,5.125500,5.128180,0.000000
0.300055,0,0.000976,0.135654,0.239103,0.006832,0.000000,0.181523,0.275212,0.562590,0.000000,0.000000,0.002808,0.000000,3.737823,3.309105,1.806103,1.114651,0.614285,1.109889,0.799999,0.750793,3.321425,3.316846,0.801757,5.132200,5.122820,0.000000
0.350055,0,0.000000,0.132726,0.238127,0.003904,0.000000,0.182499,0.275212,0.562590,0.000000,0.000000,0.002991,0.000000,3.714624,3.322097,1.821243,1.107691,0.613552,1.109889,0.800365,0.752136,3.321425,3.316846,0.802343,5.122820,5.121480,0.000000
0.400054,0,0.001952,0.131751,0.241055,0.000976,0.000000,0.179571,0.272284,0.562590,0.000000,0.000000,0.002808,0.000000,3.719264,3.319313,1.817336,1.113552,0.614285,1.109889,0.800365,0.751867,3.321425,3.317762,0.801757,5.125500,5.128180,0.000000
0.450055,0,0.000976,0.129799,0.238127,0.003904,0.000000,0.178595,0.274236,0.562590,0.000000,0.000000,0.002991,0.000000,3.719264,3.309105,1.803173,1.110255,0.614651,1.110255,0.799999,0.751599,3.320509,3.317762,0.801757,5.121480,5.126840,0.000000
0.500055,0,0.000000,0.131751,0.237151,0.002928,0.000000,0.177619,0.275212,0.562590,0.000000,0.000061,0.002747,0.000000,3.718336,3.319313,1.817336,1.112087,0.615018,1.106959,0.798534,0.751867,3.320509,3.317762,0.801465,5.122820,5.132200,0.000000
0.550055,0,0.001952,0.130775,0.238127,0.000000,0.000000,0.181523,0.273260,0.562590,0.000000,0.000000,0.002503,0.000000,3.737823,3.310033,1.803173,1.107325,0.615018,1.110622,0.800365,0.751867,3.321425,3.318678,0.801757,5.134880,5.126840,0.000000
0.600064,0,0.000000,0.130775,0.236175,0.005856,0.000000,0.178595,0.272284,0.571520,0.000000,0.000000,0.002869,0.000000,3.726687,3.327664,1.800242,1.110622,0.604395,1.107325,0.799999,0.753211,3.321425,3.318678,0.801465,5.136220,5.132200,0.000000
