timestamp,channel,action,payload
1761303489490,CH1,POWER,2.50
1761303489494,CH1,POWER,2.50
1761303489499,CH1,POWER,2.50
1761303489502,CH1,POWER,2.50
1761303489509,CH1,POWER,2.50
1761303489512,CH1,POWER,2.50
1761303489518,CH1,POWER,2.50
1761303489522,CH1,POWER,2.50
1761303489528,CH1,POWER,2.50
1761303489532,CH1,POWER,2.50
1761303489539,CH1,POWER,2.50
1761303489542,CH1,POWER,2.50
1761303489549,CH1,POWER,2.50
1761303489552,CH1,POWER,2.50
1761303489558,CH1,POWER,2.50
1761303489562,CH1,POWER,2.50
1761303489568,CH1,POWER,2.50
1761303489572,CH1,POWER,2.50
1761303489578,CH1,POWER,2.50
1761303489582,CH1,POWER,2.50
1761303489588,CH1,POWER,2.50
1761303489592,CH1,POWER,2.50
1761303489598,CH1,POWER,2.50
1761303489602,CH1,POWER,2.50
1761303489608,CH1,POWER,2.50
1761303489612,CH1,POWER,2.50
1761303489618,CH1,POWER,2.50
1761303489623,CH1,POWER,2.50
1761303489628,CH1,POWER,2.50
1761303489632,CH1,POWER,2.50
1761303489637,CH1,POWER,2.50
1761303489639,CH1,POWER,2.95
1761303489642,CH1,POWER,2.95
1761303489667,CH1,POWER,2.95
1761303489672,CH1,POWER,2.95
1761303489676,CH1,POWER,2.95
1761303489680,CH1,POWER,2.95
1761303489684,CH1,POWER,2.95
1761303489691,CH1,POWER,2.95
1761303489696,CH1,POWER,2.95
1761303489700,CH1,POWER,2.95
1761303489704,CH1,POWER,2.95
1761303489711,CH1,POWER,2.95
1761303489714,CH1,POWER,2.95
1761303489720,CH1,POWER,2.95
1761303489724,CH1,POWER,2.95
1761303489731,CH1,POWER,2.95
1761303489734,CH1,POWER,2.95
1761303489741,CH1,POWER,2.95
1761303489744,CH1,POWER,2.95
1761303489750,CH1,POWER,2.95
1761303489754,CH1,POWER,2.95
1761303489760,CH1,POWER,2.95
1761303489764,CH1,POWER,2.95
1761303489770,CH1,POWER,2.95
1761303489774,CH1,POWER,2.95
1761303489780,CH1,POWER,2.95
1761303489784,CH1,POWER,2.95
1761303489790,CH1,POWER,2.95
1761303489794,CH1,POWER,2.95
1761303489800,CH1,POWER,2.95
1761303489804,CH1,POWER,2.95
1761303489810,CH1,POWER,2.95
1761303489814,CH1,POWER,2.95
1761303489820,CH1,POWER,2.95
1761303489824,CH1,POWER,2.95
1761303489830,CH1,POWER,2.95
1761303489834,CH1,POWER,2.95
1761303489840,CH1,POWER,2.95
1761303489844,CH1,POWER,2.95
1761303489851,CH1,POWER,2.95
1761303489856,CH1,POWER,2.95
1761303489860,CH1,POWER,2.95
1761303489864,CH1,POWER,2.95
1761303489870,CH1,POWER,2.95
1761303489874,CH1,POWER,2.95
1761303489880,CH1,POWER,2.95
1761303489884,CH1,POWER,2.95
1761303489891,CH1,POWER,2.95
1761303489899,CH1,POWER,2.95
1761303489904,CH1,POWER,2.95
1761303489910,CH1,POWER,2.95
1761303489915,CH1,POWER,2.95
1761303489920,CH1,POWER,2.95
1761303489924,CH1,POWER,2.95
1761303489931,CH1,POWER,2.95
1761303489934,CH1,POWER,2.95
1761303489940,CH1,POWER,2.95
1761303489944,CH1,POWER,2.95
1761303489950,CH1,POWER,2.95
1761303489955,CH1,POWER,2.95
1761303489960,CH1,POWER,2.95
1761303489965,CH1,POWER,2.95
1761303489970,CH1,POWER,2.95
1761303489974,CH1,POWER,2.95
1761303489980,CH1,POWER,2.95
1761303489984,CH1,POWER,2.95
1761303489990,CH1,POWER,2.95
1761303489994,CH1,POWER,2.95
1761303490000,CH1,POWER,2.95
1761303490005,CH1,POWER,2.95
1761303490009,CH1,POWER,2.95
1761303490014,CH1,POWER,2.95
1761303490021,CH1,POWER,2.95
1761303490029,CH1,POWER,2.95
1761303490035,CH1,POWER,2.95
1761303490039,CH1,POWER,2.50
1761303490041,CH1,POWER,2.50
1761303490044,CH1,POWER,2.50
1761303490072,CH1,POWER,2.50
1761303490077,CH1,POWER,2.50
1761303490082,CH1,POWER,2.50
1761303490087,CH1,POWER,2.50
1761303490092,CH1,POWER,2.50
1761303490098,CH1,POWER,2.50
1761303490103,CH1,POWER,2.50
1761303490110,CH1,POWER,2.50
1761303490115,CH1,POWER,2.50
1761303490122,CH1,POWER,2.50
1761303490126,CH1,POWER,2.50
1761303490132,CH1,POWER,2.50
1761303490140,CH1,POWER,2.50
1761303490144,CH1,POWER,2.50
1761303490150,CH1,POWER,2.50
1761303490155,CH1,POWER,2.50
1761303490160,CH1,POWER,2.50
1761303490164,CH1,POWER,2.50
1761303490170,CH1,POWER,2.50
1761303490174,CH1,POWER,2.50
1761303490181,CH1,POWER,2.50
1761303490186,CH1,POWER,2.50
1761303490193,CH1,POWER,2.50
1761303490197,CH1,POWER,2.50
1761303490201,CH1,POWER,2.50
1761303490206,CH1,POWER,2.50
1761303490211,CH1,POWER,2.50
1761303490215,CH1,POWER,2.50
1761303490220,CH1,POWER,2.50
1761303490224,CH1,POWER,2.50
1761303490231,CH1,POWER,2.50
1761303490235,CH1,POWER,2.50
1761303490240,CH1,POWER,2.50
1761303490244,CH1,POWER,2.50
1761303490251,CH1,POWER,2.50
1761303490256,CH1,POWER,2.50
1761303490262,CH1,POWER,2.50
1761303490268,CH1,POWER,2.50
1761303490273,CH1,POWER,2.50
1761303490278,CH1,POWER,2.50
1761303490282,CH1,POWER,2.50
1761303490286,CH1,POWER,2.50
1761303490292,CH1,POWER,2.50
1761303490298,CH1,POWER,2.50
1761303490303,CH1,POWER,2.50
1761303490311,CH1,POWER,2.50
1761303490315,CH1,POWER,2.50
1761303490320,CH1,POWER,2.50
1761303490325,CH1,POWER,2.50
1761303490329,CH1,POWER,2.50
1761303490334,CH1,POWER,2.50
1761303490339,CH1,POWER,2.50
1761303490343,CH1,POWER,2.50
1761303490348,CH1,POWER,2.50
1761303490352,CH1,POWER,2.50
1761303490357,CH1,POWER,2.50
1761303490363,CH1,POWER,2.50
1761303490368,CH1,POWER,2.50
1761303490373,CH1,POWER,2.50
1761303490381,CH1,POWER,2.50
1761303490385,CH1,POWER,2.50
1761303490392,CH1,POWER,2.50
1761303490396,CH1,POWER,2.50
1761303490403,CH1,POWER,2.50
1761303490408,CH1,POWER,2.50
1761303490412,CH1,POWER,2.50
1761303490416,CH1,POWER,2.50
1761303490422,CH1,POWER,2.50
1761303490427,CH1,POWER,2.50
1761303490432,CH1,POWER,2.50
1761303490435,CH1,POWER,2.50
1761303490462,CH1,POWER,2.50
1761303490468,CH1,POWER,2.50
1761303490473,CH1,POWER,2.50
1761303490477,CH1,POWER,2.50
1761303490481,CH1,POWER,2.50
1761303490485,CH1,POWER,2.50
1761303490490,CH1,POWER,2.50
1761303490494,CH1,POWER,2.50
1761303490498,CH1,POWER,2.50
1761303490504,CH1,POWER,2.50
1761303490508,CH1,POWER,2.50
1761303490514,CH1,POWER,2.50
1761303490518,CH1,POWER,2.50
1761303490525,CH1,POWER,2.50
1761303490532,CH1,POWER,2.50
1761303490536,CH1,POWER,2.50
1761303490542,CH1,POWER,2.50
1761303490546,CH1,POWER,2.50
1761303490552,CH1,POWER,2.50
1761303490556,CH1,POWER,2.50
1761303490562,CH1,POWER,2.50
1761303490566,CH1,POWER,2.50
1761303490572,CH1,POWER,2.50
1761303490578,CH1,POWER,2.50
1761303490584,CH1,POWER,2.50
1761303490588,CH1,POWER,2.50
1761303490594,CH1,POWER,2.50
1761303490602,CH1,POWER,2.50
1761303490609,CH1,POWER,2.50
1761303490614,CH1,POWER,2.50
1761303490618,CH1,POWER,2.50
1761303490624,CH1,POWER,2.50
1761303490629,CH1,POWER,2.50
1761303490633,CH1,POWER,2.50
1761303490637,CH1,POWER,2.50
1761303490645,CH1,POWER,2.50
1761303490650,CH1,POWER,2.50
1761303490654,CH1,POWER,2.50
1761303490658,CH1,POWER,2.50
1761303490664,CH1,POWER,2.50
1761303490668,CH1,POWER,2.50
1761303490675,CH1,POWER,2.50
1761303490683,CH1,POWER,2.50
1761303490689,CH1,POWER,2.50
1761303490703,CH1,POWER,2.50
1761303490708,CH1,POWER,2.50
1761303490715,CH1,POWER,2.50
1761303490720,CH1,POWER,2.50
1761303490725,CH1,POWER,2.50
1761303490730,CH1,POWER,2.50
1761303490735,CH1,POWER,2.50
1761303490743,CH1,POWER,2.50
1761303490748,CH1,POWER,2.50
1761303490755,CH1,POWER,2.50
1761303490760,CH1,POWER,2.50
1761303490765,CH1,POWER,2.50
1761303490773,CH1,POWER,2.50
1761303490779,CH1,POWER,2.50
1761303490784,CH1,POWER,2.50
1761303490790,CH1,POWER,2.50
1761303490795,CH1,POWER,2.50
1761303490800,CH1,POWER,2.50
1761303490805,CH1,POWER,2.50
1761303490810,CH1,POWER,2.50
1761303490815,CH1,POWER,2.50
1761303490823,CH1,POWER,2.50
1761303490828,CH1,POWER,2.50
1761303490834,CH1,POWER,2.50
1761303490836,CH1,POWER,2.50
1761303490839,CH1,POWER,2.50
1761303490867,CH1,POWER,2.50
1761303490872,CH1,POWER,2.50
1761303490877,CH1,POWER,2.50
1761303490882,CH1,POWER,2.50
1761303490887,CH1,POWER,2.50
1761303490895,CH1,POWER,2.50
1761303490901,CH1,POWER,2.50
1761303490906,CH1,POWER,2.50
1761303490912,CH1,POWER,2.50
1761303490917,CH1,POWER,2.50
1761303490922,CH1,POWER,2.50
1761303490927,CH1,POWER,2.50
1761303490935,CH1,POWER,2.50
1761303490941,CH1,POWER,2.50
1761303490946,CH1,POWER,2.50
1761303490951,CH1,POWER,2.50
1761303490957,CH1,POWER,2.50
1761303490962,CH1,POWER,2.50
1761303490967,CH1,POWER,2.50
1761303490975,CH1,POWER,2.50
1761303490981,CH1,POWER,2.50
1761303490987,CH1,POWER,2.50
1761303490995,CH1,POWER,2.50
1761303491000,CH1,POWER,2.50
1761303491007,CH1,POWER,2.50
1761303491015,CH1,POWER,2.50
1761303491020,CH1,POWER,2.50
1761303491027,CH1,POWER,2.50
1761303491032,CH1,POWER,2.50
1761303491037,CH1,POWER,2.50
1761303491042,CH1,POWER,2.50
1761303491047,CH1,POWER,2.50
1761303491055,CH1,POWER,2.50
1761303491061,CH1,POWER,2.50
1761303491065,CH1,POWER,2.50
1761303491072,CH1,POWER,2.50
1761303491077,CH1,POWER,2.50
1761303491082,CH1,POWER,2.50
1761303491087,CH1,POWER,2.50
1761303491092,CH1,POWER,2.50
1761303491097,CH1,POWER,2.50
1761303491102,CH1,POWER,2.50
1761303491107,CH1,POWER,2.50
1761303491112,CH1,POWER,2.50
1761303491117,CH1,POWER,2.50
1761303491125,CH1,POWER,2.50
1761303491131,CH1,POWER,2.50
1761303491137,CH1,POWER,2.50
1761303491145,CH1,POWER,2.50
1761303491151,CH1,POWER,2.50
1761303491157,CH1,POWER,2.50
1761303491165,CH1,POWER,2.50
1761303491170,CH1,POWER,2.50
1761303491177,CH1,POWER,2.50
1761303491185,CH1,POWER,2.50
1761303491191,CH1,POWER,2.50
1761303491195,CH1,POWER,2.50
1761303491202,CH1,POWER,2.50
1761303491207,CH1,POWER,2.50
1761303491214,CH1,POWER,2.50
1761303491218,CH1,POWER,2.50
1761303491221,CH1,POWER,2.50
1761303491248,CH1,POWER,2.50
1761303491256,CH1,POWER,2.50
1761303491262,CH1,POWER,2.50
1761303491269,CH1,POWER,2.50
1761303491274,CH1,POWER,2.50
1761303491279,CH1,POWER,2.50
1761303491284,CH1,POWER,2.50
1761303491289,CH1,POWER,2.50
1761303491294,CH1,POWER,2.50
1761303491298,CH1,POWER,2.50
1761303491302,CH1,POWER,2.50
1761303491308,CH1,POWER,2.50
1761303491312,CH1,POWER,2.50
1761303491318,CH1,POWER,2.50
1761303491322,CH1,POWER,2.50
1761303491328,CH1,POWER,2.50
1761303491336,CH1,POWER,2.50
1761303491343,CH1,POWER,2.50
1761303491348,CH1,POWER,2.50
1761303491356,CH1,POWER,2.50
1761303491360,CH1,POWER,2.50
1761303491368,CH1,POWER,2.50
1761303491376,CH1,POWER,2.50
1761303491382,CH1,POWER,2.50
1761303491388,CH1,POWER,2.50
1761303491397,CH1,POWER,2.50
1761303491401,CH1,POWER,2.50
1761303491406,CH1,POWER,2.50
1761303491411,CH1,POWER,2.50
1761303491419,CH1,POWER,2.50
1761303491426,CH1,POWER,2.50
1761303491431,CH1,POWER,2.50
1761303491438,CH1,POWER,2.50
1761303491442,CH1,POWER,2.50
1761303491448,CH1,POWER,2.50
1761303491452,CH1,POWER,2.50
1761303491458,CH1,POWER,2.50
1761303491462,CH1,POWER,2.50
1761303491468,CH1,POWER,2.50
1761303491474,CH1,POWER,2.50
1761303491478,CH1,POWER,2.50
1761303491482,CH1,POWER,2.50
1761303491487,CH1,POWER,2.50
1761303491494,CH1,POWER,2.50
1761303491498,CH1,POWER,2.50
1761303491506,CH1,POWER,2.50
1761303491511,CH1,POWER,2.50
1761303491515,CH1,POWER,2.50
1761303491520,CH1,POWER,2.50
1761303491525,CH1,POWER,2.50
1761303491529,CH1,POWER,2.50
1761303491534,CH1,POWER,2.50
1761303491538,CH1,POWER,2.50
1761303491544,CH1,POWER,2.50
1761303491549,CH1,POWER,2.50
1761303491554,CH1,POWER,2.50
1761303491558,CH1,POWER,2.50
1761303491566,CH1,POWER,2.50
1761303491572,CH1,POWER,2.50
1761303491579,CH1,POWER,2.50
1761303491586,CH1,POWER,2.50
1761303491591,CH1,POWER,2.50
1761303491597,CH1,POWER,2.50
1761303491601,CH1,POWER,2.50
1761303491627,CH1,POWER,2.50
1761303491633,CH1,POWER,2.50
1761303491641,CH1,POWER,2.50
1761303491646,CH1,POWER,2.50
1761303491651,CH1,POWER,2.50
1761303491656,CH1,POWER,2.50
1761303491660,CH1,POWER,2.50
1761303491668,CH1,POWER,2.50
1761303491674,CH1,POWER,2.50
1761303491679,CH1,POWER,2.50
1761303491683,CH1,POWER,2.50
1761303491689,CH1,POWER,2.50
1761303491693,CH1,POWER,2.50
1761303491699,CH1,POWER,2.50
1761303491703,CH1,POWER,2.50
1761303491710,CH1,POWER,2.50
1761303491714,CH1,POWER,2.50
1761303491720,CH1,POWER,2.50
1761303491726,CH1,POWER,2.50
1761303491730,CH1,POWER,2.50
1761303491734,CH1,POWER,2.50
1761303491740,CH1,POWER,2.50
1761303491746,CH1,POWER,2.50
1761303491750,CH1,POWER,2.50
1761303491758,CH1,POWER,2.50
1761303491763,CH1,POWER,2.50
1761303491769,CH1,POWER,2.50
1761303491774,CH1,POWER,2.50
1761303491781,CH1,POWER,2.50
1761303491786,CH1,POWER,2.50
1761303491790,CH1,POWER,2.50
1761303491796,CH1,POWER,2.50
1761303491800,CH1,POWER,2.50
1761303491806,CH1,POWER,2.50
1761303491810,CH1,POWER,2.50
1761303491814,CH1,POWER,2.50
1761303491820,CH1,POWER,2.50
1761303491828,CH1,POWER,2.50
1761303491833,CH1,POWER,2.50
1761303491840,CH1,POWER,2.50
1761303491848,CH1,POWER,2.50
1761303491854,CH1,POWER,2.50
1761303491860,CH1,POWER,2.50
1761303491868,CH1,POWER,2.50
1761303491875,CH1,POWER,2.50
1761303491879,CH1,POWER,2.50
1761303491886,CH1,POWER,2.50
1761303491891,CH1,POWER,2.50
1761303491896,CH1,POWER,2.50
1761303491900,CH1,POWER,2.50
1761303491906,CH1,POWER,2.50
1761303491910,CH1,POWER,2.50
1761303491915,CH1,POWER,2.50
1761303491919,CH1,POWER,2.50
1761303491925,CH1,POWER,2.50
1761303491929,CH1,POWER,2.50
1761303491936,CH1,POWER,2.50
1761303491940,CH1,POWER,2.50
1761303491948,CH1,POWER,2.50
1761303491953,CH1,POWER,2.50
1761303491959,CH1,POWER,2.50
1761303491966,CH1,POWER,2.50
1761303491970,CH1,POWER,2.50
1761303491976,CH1,POWER,2.50
1761303491980,CH1,POWER,2.50
1761303491987,CH1,POWER,2.50
1761303491990,CH1,POWER,2.50
1761303491992,CH1,POWER,2.50
1761303491995,CH1,POWER,2.50
1761303492022,CH1,POWER,2.50
1761303492030,CH1,POWER,2.50
1761303492036,CH1,POWER,2.50
1761303492042,CH1,POWER,2.50
1761303492048,CH1,POWER,2.50
1761303492052,CH1,POWER,2.50
1761303492056,CH1,POWER,2.50
1761303492061,CH1,POWER,2.50
1761303492068,CH1,POWER,2.50
1761303492072,CH1,POWER,2.50
1761303492080,CH1,POWER,2.50
1761303492086,CH1,POWER,2.50
1761303492092,CH1,POWER,2.50
1761303492098,CH1,POWER,2.50
1761303492103,CH1,POWER,2.50
1761303492108,CH1,POWER,2.50
1761303492112,CH1,POWER,2.50
1761303492118,CH1,POWER,2.50
1761303492122,CH1,POWER,2.50
1761303492130,CH1,POWER,2.50
1761303492136,CH1,POWER,2.50
1761303492142,CH1,POWER,2.50
1761303492148,CH1,POWER,2.50
1761303492152,CH1,POWER,2.50
1761303492160,CH1,POWER,2.50
1761303492164,CH1,POWER,2.50
1761303492170,CH1,POWER,2.50
1761303492174,CH1,POWER,2.50
1761303492181,CH1,POWER,2.50
1761303492185,CH1,POWER,2.50
1761303492191,CH1,POWER,2.50
1761303492195,CH1,POWER,2.50
1761303492199,CH1,POWER,2.50
1761303492204,CH1,POWER,2.50
1761303492210,CH1,POWER,2.50
1761303492216,CH1,POWER,2.50
1761303492221,CH1,POWER,2.50
1761303492228,CH1,POWER,2.50
