timestamp,channel,action,payload
1764329271183,CH1,POWER,2.40
1764329271187,CH1,POWER,2.40
1764329271192,CH1,POWER,2.40
1764329271198,CH1,POWER,2.40
1764329271202,CH1,POWER,2.40
1764329271208,CH1,POWER,2.40
1764329271214,CH1,POWER,2.40
1764329271218,CH1,POWER,2.40
1764329271222,CH1,POWER,2.40
1764329271227,CH1,POWER,2.40
1764329271231,CH1,POWER,2.40
1764329271238,CH1,POWER,2.40
1764329271246,CH1,POWER,2.40
1764329271250,CH1,POWER,2.40
1764329271256,CH1,POWER,2.40
1764329271260,CH1,POWER,2.40
1764329271268,CH1,POWER,2.40
1764329271276,CH1,POWER,2.40
1764329271281,CH1,POWER,2.40
1764329271288,CH1,POWER,2.40
1764329271292,CH1,POWER,2.40
1764329271298,CH1,POWER,2.40
1764329271302,CH1,POWER,2.40
1764329271307,CH1,POWER,2.40
1764329271312,CH1,POWER,2.40
1764329271318,CH1,POWER,2.40
1764329271322,CH1,POWER,2.40
1764329271325,CH1,POWER,2.40
1764329271328,CH1,POWER,2.40
1764329271330,CH1,POWER,2.40
1764329271333,CH1,POWER,2.40
1764329271360,CH1,POWER,2.40
1764329271366,CH1,POWER,2.40
1764329271370,CH1,POWER,2.40
1764329271378,CH1,POWER,2.40
1764329271382,CH1,POWER,2.40
1764329271388,CH1,POWER,2.40
1764329271394,CH1,POWER,2.40
1764329271400,CH1,POWER,2.40
1764329271406,CH1,POWER,2.40
1764329271410,CH1,POWER,2.40
1764329271416,CH1,POWER,2.40
1764329271420,CH1,POWER,2.40
1764329271428,CH1,POWER,2.40
1764329271434,CH1,POWER,2.40
1764329271440,CH1,POWER,2.40
1764329271446,CH1,POWER,2.40
1764329271450,CH1,POWER,2.40
1764329271458,CH1,POWER,2.40
1764329271464,CH1,POWER,2.40
1764329271469,CH1,POWER,2.40
1764329271474,CH1,POWER,2.40
1764329271479,CH1,POWER,2.40
1764329271484,CH1,POWER,2.40
1764329271490,CH1,POWER,2.40
1764329271494,CH1,POWER,2.40
1764329271500,CH1,POWER,2.40
1764329271504,CH1,POWER,2.40
1764329271510,CH1,POWER,2.40
1764329271516,CH1,POWER,2.40
1764329271520,CH1,POWER,2.40
1764329271524,CH1,POWER,2.40
1764329271529,CH1,POWER,2.40
1764329271533,CH1,POWER,2.40
1764329271539,CH1,POWER,2.40
1764329271544,CH1,POWER,2.40
1764329271550,CH1,POWER,2.40
1764329271556,CH1,POWER,2.40
1764329271560,CH1,POWER,2.40
1764329271564,CH1,POWER,2.40
1764329271570,CH1,POWER,2.40
1764329271576,CH1,POWER,2.40
1764329271582,CH1,POWER,2.40
1764329271588,CH1,POWER,2.40
1764329271592,CH1,POWER,2.40
1764329271600,CH1,POWER,2.40
1764329271608,CH1,POWER,2.40
1764329271614,CH1,POWER,2.40
1764329271620,CH1,POWER,2.40
1764329271626,CH1,POWER,2.40
1764329271630,CH1,POWER,2.40
1764329271634,CH1,POWER,2.40
1764329271640,CH1,POWER,2.40
1764329271644,CH1,POWER,2.40
1764329271650,CH1,POWER,2.40
1764329271656,CH1,POWER,2.40
1764329271660,CH1,POWER,2.40
1764329271664,CH1,POWER,2.40
1764329271669,CH1,POWER,2.40
1764329271673,CH1,POWER,2.40
1764329271677,CH1,POWER,2.40
1764329271681,CH1,POWER,2.40
1764329271687,CH1,POWER,2.40
1764329271693,CH1,POWER,2.40
1764329271697,CH1,POWER,2.40
1764329271702,CH1,POWER,2.40
1764329271708,CH1,POWER,2.40
1764329271712,CH1,POWER,2.40
1764329271718,CH1,POWER,2.40
1764329271722,CH1,POWER,2.40
1764329271726,CH1,POWER,2.40
1764329271729,CH1,POWER,2.40
1764329271731,CH1,POWER,2.40
1764329271734,CH1,POWER,2.40
1764329271759,CH1,POWER,2.40
1764329271764,CH1,POWER,2.40
1764329271770,CH1,POWER,2.40
1764329271775,CH1,POWER,2.40
1764329271779,CH1,POWER,2.40
1764329271783,CH1,POWER,2.40
1764329271790,CH1,POWER,2.40
1764329271794,CH1,POWER,2.40
1764329271800,CH1,POWER,2.40
1764329271804,CH1,POWER,2.40
1764329271810,CH1,POWER,2.40
1764329271814,CH1,POWER,2.40
1764329271820,CH1,POWER,2.40
1764329271824,CH1,POWER,2.40
1764329271830,CH1,POWER,2.40
1764329271834,CH1,POWER,2.40
1764329271840,CH1,POWER,2.40
1764329271844,CH1,POWER,2.40
1764329271850,CH1,POWER,2.40
1764329271854,CH1,POWER,2.40
1764329271860,CH1,POWER,2.40
1764329271864,CH1,POWER,2.40
1764329271870,CH1,POWER,2.40
1764329271874,CH1,POWER,2.40
1764329271880,CH1,POWER,2.40
1764329271884,CH1,POWER,2.40
1764329271890,CH1,POWER,2.40
1764329271894,CH1,POWER,2.40
1764329271900,CH1,POWER,2.40
1764329271906,CH1,POWER,2.40
1764329271912,CH1,POWER,2.40
1764329271916,CH1,POWER,2.40
1764329271922,CH1,POWER,2.40
1764329271928,CH1,POWER,2.40
1764329271932,CH1,POWER,2.40
1764329271936,CH1,POWER,2.40
1764329271942,CH1,POWER,2.40
1764329271946,CH1,POWER,2.40
1764329271952,CH1,POWER,2.40
1764329271956,CH1,POWER,2.40
1764329271961,CH1,POWER,2.40
1764329271965,CH1,POWER,2.40
1764329271969,CH1,POWER,2.40
1764329271973,CH1,POWER,2.40
1764329271978,CH1,POWER,2.40
1764329271982,CH1,POWER,2.40
1764329271990,CH1,POWER,2.40
1764329271994,CH1,POWER,2.40
1764329272000,CH1,POWER,2.40
1764329272004,CH1,POWER,2.40
1764329272010,CH1,POWER,2.40
1764329272014,CH1,POWER,2.40
1764329272020,CH1,POWER,2.40
1764329272024,CH1,POWER,2.40
1764329272030,CH1,POWER,2.40
1764329272035,CH1,POWER,2.40
1764329272041,CH1,POWER,2.40
1764329272045,CH1,POWER,2.40
1764329272052,CH1,POWER,2.40
1764329272056,CH1,POWER,2.40
1764329272062,CH1,POWER,2.40
1764329272066,CH1,POWER,2.40
1764329272072,CH1,POWER,2.40
1764329272078,CH1,POWER,2.40
1764329272082,CH1,POWER,2.40
1764329272086,CH1,POWER,2.40
1764329272092,CH1,POWER,2.40
1764329272100,CH1,POWER,2.40
1764329272105,CH1,POWER,2.40
1764329272111,CH1,POWER,2.40
1764329272116,CH1,POWER,2.40
1764329272122,CH1,POWER,2.40
1764329272128,CH1,POWER,2.40
1764329272131,CH1,POWER,2.40
1764329272133,CH1,POWER,2.40
1764329272136,CH1,POWER,2.40
1764329272163,CH1,POWER,2.40
1764329272168,CH1,POWER,2.40
1764329272173,CH1,POWER,2.40
1764329272178,CH1,POWER,2.40
1764329272184,CH1,POWER,2.40
1764329272190,CH1,POWER,2.40
1764329272194,CH1,POWER,2.40
1764329272202,CH1,POWER,2.40
1764329272207,CH1,POWER,2.40
1764329272215,CH1,POWER,2.40
1764329272222,CH1,POWER,2.40
1764329272228,CH1,POWER,2.40
1764329272234,CH1,POWER,2.40
1764329272240,CH1,POWER,2.40
1764329272244,CH1,POWER,2.40
1764329272252,CH1,POWER,2.40
1764329272257,CH1,POWER,2.40
1764329272263,CH1,POWER,2.40
1764329272268,CH1,POWER,2.40
1764329272273,CH1,POWER,2.40
1764329272280,CH1,POWER,2.40
1764329272284,CH1,POWER,2.40
1764329272288,CH1,POWER,2.40
1764329272294,CH1,POWER,2.40
1764329272302,CH1,POWER,2.40
1764329272308,CH1,POWER,2.40
1764329272314,CH1,POWER,2.40
1764329272322,CH1,POWER,2.40
1764329272328,CH1,POWER,2.40
1764329272334,CH1,POWER,2.40
1764329272342,CH1,POWER,2.40
1764329272348,CH1,POWER,2.40
1764329272354,CH1,POWER,2.40
1764329272362,CH1,POWER,2.40
1764329272368,CH1,POWER,2.40
1764329272374,CH1,POWER,2.40
1764329272382,CH1,POWER,2.40
1764329272388,CH1,POWER,2.40
1764329272393,CH1,POWER,2.40
1764329272400,CH1,POWER,2.40
1764329272404,CH1,POWER,2.40
1764329272410,CH1,POWER,2.40
1764329272414,CH1,POWER,2.40
1764329272422,CH1,POWER,2.40
1764329272428,CH1,POWER,2.40
1764329272433,CH1,POWER,2.40
1764329272440,CH1,POWER,2.40
1764329272444,CH1,POWER,2.40
1764329272450,CH1,POWER,2.40
1764329272454,CH1,POWER,2.40
1764329272460,CH1,POWER,2.40
1764329272464,CH1,POWER,2.40
1764329272470,CH1,POWER,2.40
1764329272474,CH1,POWER,2.40
1764329272482,CH1,POWER,2.40
1764329272488,CH1,POWER,2.40
1764329272494,CH1,POWER,2.40
1764329272502,CH1,POWER,2.40
1764329272507,CH1,POWER,2.40
1764329272513,CH1,POWER,2.40
1764329272520,CH1,POWER,2.40
1764329272522,CH1,POWER,2.40
1764329272525,CH1,POWER,2.40
1764329272528,CH1,POWER,2.40
1764329272555,CH1,POWER,2.40
1764329272562,CH1,POWER,2.40
1764329272566,CH1,POWER,2.40
1764329272570,CH1,POWER,2.40
1764329272575,CH1,POWER,2.40
1764329272579,CH1,POWER,2.40
1764329272585,CH1,POWER,2.40
1764329272590,CH1,POWER,2.40
1764329272596,CH1,POWER,2.40
1764329272600,CH1,POWER,2.40
1764329272606,CH1,POWER,2.40
1764329272614,CH1,POWER,2.40
1764329272620,CH1,POWER,2.40
1764329272626,CH1,POWER,2.40
1764329272632,CH1,POWER,2.40
1764329272636,CH1,POWER,2.40
1764329272642,CH1,POWER,2.40
1764329272646,CH1,POWER,2.40
