duration_s,active,3V7_WL_SW_A current(0),3V3_SYS_A current(1),1V8_SYS_A current(2),DDR_VDD2_A current(3),DDR_VDDQ_A current(4),1V1_SYS_A current(5),0V8_SW_A current(6),VDD_CORE_A current(7),3V3_DAC_A current(17),3V3_ADC_A current(18),0V8_AON_A current(16),HDMI_A current(22),3V7_WL_SW_V volt(8),3V3_SYS_V volt(9),1V8_SYS_V volt(10),DDR_VDD2_V volt(11),DDR_VDDQ_V volt(12),1V1_SYS_V volt(13),0V8_SW_V volt(14),VDD_CORE_V volt(15),3V3_DAC_V volt(20),3V3_ADC_V volt(21),0V8_AON_V volt(19),HDMI_V volt(23),EXT5V_V volt(24),BATT_V volt(25)
0.000000,0,0.001952,0.136630,0.243982,0.003904,0.000000,0.177619,0.272284,0.830490,0.000000,0.000061,0.002991,0.000000,3.726687,3.319313,1.800731,1.108790,0.601831,1.110255,0.800365,0.883491,3.324172,3.318678,0.801757,5.152300,5.133540,0.000000
0.050057,0,0.000000,0.133702,0.243007,0.003904,0.000000,0.177619,0.274236,0.830490,0.000000,0.000000,0.002930,0.000000,3.718336,3.316529,1.800242,1.107325,0.611721,1.107691,0.800365,0.883491,3.322341,3.318678,0.802343,5.132200,5.129520,0.000000
0.100055,0,0.000976,0.135654,0.243007,0.000976,0.000000,0.176643,0.275212,0.830490,0.000000,0.000000,0.002930,0.000000,3.714624,3.310033,1.813429,1.108790,0.608424,1.111720,0.799633,0.883491,3.324172,3.318678,0.801757,5.130860,5.128180,0.000000
0.150054,0,0.000000,0.129799,0.243007,0.003904,0.000000,0.177619,0.271309,0.839420,0.000000,0.000122,0.002991,0.000000,3.734111,3.311889,1.806592,1.108058,0.610622,1.104394,0.800732,0.884297,3.321425,3.318678,0.802930,5.132200,5.134880,0.000000
0.200054,0,0.000000,0.127847,0.241055,0.000976,0.000000,0.178595,0.271309,0.830490,0.000000,0.000000,0.002930,0.000000,3.718336,3.336944,1.814406,1.112087,0.615018,1.104394,0.799633,0.884297,3.323257,3.317762,0.801757,5.133540,5.122820,0.000000
0.250054,0,0.000000,0.135654,0.243007,0.000976,0.000000,0.176643,0.273260,0.830490,0.000000,0.000061,0.002930,0.000000,3.737823,3.318385,1.806592,1.110255,0.614651,1.105127,0.800732,0.883760,3.322341,3.318678,0.802343,5.133540,5.122820,0.000000
0.300054,0,0.000976,0.127847,0.238127,0.001952,0.000000,0.178595,0.270333,0.821560,0.000000,0.000000,0.002869,0.000000,3.741535,3.320241,1.807080,1.107325,0.604761,1.104394,0.799633,0.883491,3.323257,3.317762,0.801465,5.124160,5.126840,0.000000
0.350054,0,0.000000,0.124919,0.243982,0.005856,0.000000,0.196162,0.272284,0.821560,0.000000,0.000061,0.002625,0.000000,3.737823,3.340656,1.816848,1.110622,0.615018,1.111720,0.799633,0.884297,3.321425,3.318678,0.802637,5.134880,5.122820,0.000000
0.400054,0,0.000976,0.126871,0.243982,0.004880,0.000000,0.179571,0.273260,0.830490,0.000000,0.000000,0.002930,0.000000,3.718336,3.310033,1.812941,1.110255,0.615384,1.111720,0.799999,0.883760,3.321425,3.316846,0.801757,5.128180,5.134880,0.000000
0.450054,0,0.000000,0.134678,0.238127,0.002928,0.000000,0.178595,0.273260,0.821560,0.000000,0.000000,0.002930,0.000000,3.718336,3.313745,1.805615,1.113552,0.613919,1.104394,0.799267,0.883760,3.321425,3.318678,0.802051,5.122820,5.122820,0.000000
0.500054,0,0.000976,0.131751,0.244958,0.000000,0.000000,0.178595,0.276188,0.821560,0.000000,0.000061,0.002991,0.000000,3.726687,3.333232,1.809034,1.107325,0.613919,1.104761,0.799633,0.884297,3.324172,3.318678,0.801757,5.122820,5.129520,0.000000
0.550054,0,0.001952,0.133702,0.242031,0.002928,0.000000,0.180547,0.273260,0.839420,0.000000,0.000488,0.002930,0.000000,3.737823,3.319313,1.810987,1.110255,0.614651,1.110988,0.800732,0.883223,3.321425,3.317762,0.802051,5.134880,5.124160,0.000000
0.600054,0,0.000000,0.134678,0.243982,0.002928,0.000000,0.202017,0.275212,0.839420,0.000000,0.000000,0.003053,0.000000,3.739678,3.302609,1.806592,1.113552,0.613919,1.104761,0.800365,0.883491,3.321425,3.317762,0.801757,5.128180,5.128180,0.000000
0.650054,0,0.001952,0.131751,0.243007,0.004880,0.000000,0.177619,0.272284,0.830490,0.000000,0.000000,0.002930,0.000000,3.739678,3.313745,1.806103,1.113552,0.614285,1.110255,0.801098,0.883223,3.322341,3.317762,0.801171,5.129520,5.124160,0.000000
0.700054,0,0.000976,0.131751,0.241055,0.002928,0.000000,0.175667,0.274236,0.830490,0.000000,0.000061,0.002991,0.000000,3.726687,3.310033,1.813917,1.107325,0.614651,1.107691,0.800732,0.883491,3.322341,3.317762,0.801757,5.128180,5.125500,0.000000
0.750055,0,0.003904,0.135654,0.242031,0.005856,0.000000,0.178595,0.273260,0.821560,0.000000,0.000000,0.002808,0.000000,3.725759,3.307249,1.809522,1.110622,0.615018,1.105494,0.800365,0.883223,3.322341,3.318678,0.801465,5.132200,5.125500,0.000000
0.800054,0,0.000976,0.134678,0.243007,0.004880,0.000000,0.175667,0.271309,0.812630,0.000000,0.000122,0.002930,0.000000,3.726687,3.310033,1.813917,1.110255,0.604029,1.102929,0.799633,0.884297,3.321425,3.315931,0.801757,5.132200,5.132200,0.000000
0.850054,0,0.000000,0.125895,0.243982,0.001952,0.000000,0.177619,0.273260,0.821560,0.000000,0.000000,0.002869,0.000000,3.714624,3.327664,1.810987,1.113552,0.616117,1.109156,0.800365,0.883223,3.322341,3.317762,0.801757,5.132200,5.134880,0.000000
0.900054,0,0.000000,0.126871,0.240079,0.005856,0.000000,0.178595,0.270333,0.821560,0.000000,0.000244,0.003053,0.000000,3.725759,3.357359,1.813917,1.107325,0.610256,1.104394,0.799633,0.883491,3.322341,3.317762,0.801465,5.129520,5.132200,0.000000
0.950056,0,0.000000,0.130775,0.242031,0.000000,0.000000,0.176643,0.272284,0.839420,0.000000,0.000122,0.002930,0.000000,3.726687,3.313745,1.809522,1.112087,0.604395,1.104394,0.801464,0.883760,3.320509,3.317762,0.801757,5.132200,5.128180,0.000000
0.976494,1,0.000000,0.138582,0.256670,0.147365,0.013726,0.177619,0.362070,2.696860,0.000061,0.000000,0.002869,0.000122,3.719264,3.313745,1.804638,1.108790,0.601098,1.110255,0.798900,0.883491,3.322341,3.317762,0.802930,5.129520,5.142920,0.000000
1.050063,1,0.000976,0.147365,0.244958,0.044893,0.000000,0.179571,0.288875,1.893160,0.000000,0.000000,0.002930,0.000122,3.726687,3.310033,1.800731,1.112453,0.603662,1.103296,0.801464,0.884566,3.324172,3.317762,0.801757,5.133540,5.120140,0.000000
1.100057,1,0.000000,0.132726,0.245934,0.005856,0.000000,0.178595,0.272284,0.830490,0.000000,0.000061,0.002930,0.000000,3.737823,3.316529,1.803173,1.110255,0.601831,1.104761,0.801464,0.882954,3.322341,3.317762,0.801757,5.136220,5.128180,0.000000
1.150054,1,0.000000,0.134678,0.243007,0.006832,0.000000,0.179571,0.273260,0.830490,0.000000,0.000122,0.002930,0.000000,3.730399,3.302609,1.809034,1.110255,0.613919,1.105860,0.800365,0.883223,3.321425,3.316846,0.802051,5.125500,5.132200,0.000000
1.200055,1,0.000000,0.130775,0.241055,0.003904,0.000000,0.178595,0.271309,0.812630,0.000000,0.000000,0.002747,0.000000,3.726687,3.310033,1.806592,1.116482,0.615384,1.112087,0.799267,0.883491,3.322341,3.317762,0.801757,5.132200,5.124160,0.000000
1.250055,1,0.001952,0.133702,0.243007,0.001952,0.000000,0.200066,0.273260,0.821560,0.000000,0.000122,0.003175,0.000000,3.737823,3.329521,1.804638,1.114285,0.615018,1.109156,0.801464,0.884028,3.322341,3.317762,0.801757,5.128180,5.128180,0.000000
1.300054,1,0.000000,0.144438,0.242031,0.001952,0.000000,0.177619,0.276188,0.812630,0.000000,0.000122,0.002747,0.000000,3.734111,3.313745,1.800731,1.108790,0.603662,1.110988,0.801098,0.883223,3.320509,3.318678,0.802637,5.130860,5.128180,0.000000
1.350054,1,0.000976,0.131751,0.242031,0.003904,0.000000,0.179571,0.272284,0.839420,0.000000,0.000000,0.003114,0.000000,3.719264,3.333232,1.814894,1.107325,0.614651,1.107325,0.800365,0.883223,3.321425,3.318678,0.802051,5.134880,5.129520,0.000000
1.400054,1,0.000976,0.130775,0.242031,0.004880,0.000000,0.179571,0.272284,0.830490,0.000000,0.000000,0.002930,0.000000,3.737823,3.333232,1.808057,1.110255,0.614651,1.109156,0.800365,0.883491,3.321425,3.320509,0.802930,5.132200,5.128180,0.000000
1.450054,1,0.002928,0.131751,0.240079,0.007807,0.000000,0.179571,0.275212,0.812630,0.000000,0.000244,0.002991,0.000000,3.726687,3.313745,1.800731,1.111720,0.615384,1.110988,0.800732,0.883760,3.321425,3.318678,0.802051,5.129520,5.126840,0.000000
1.500054,1,0.000976,0.130775,0.240079,0.007807,0.000000,0.180547,0.272284,0.812630,0.000000,0.000000,0.003236,0.000000,3.741535,3.309105,1.806592,1.113552,0.612087,1.108424,0.799999,0.882954,3.320509,3.317762,0.801465,5.134880,5.126840,0.000000
1.550054,1,0.002928,0.135654,0.243007,0.001952,0.000000,0.179571,0.274236,0.830490,0.000000,0.000122,0.002625,0.000000,3.737823,3.340656,1.816848,1.110622,0.615018,1.107325,0.799267,0.882954,3.322341,3.320509,0.802051,5.122820,5.128180,0.000000
1.600054,1,0.000000,0.132726,0.243982,0.001952,0.000000,0.178595,0.272284,0.821560,0.000000,0.000061,0.002991,0.000000,3.719264,3.333232,1.809034,1.113552,0.614285,1.107691,0.799633,0.883223,3.321425,3.317762,0.802051,5.125500,5.122820,0.000000
1.650054,1,0.002928,0.134678,0.244958,0.001952,0.000000,0.191282,0.273260,0.821560,0.000000,0.000122,0.002869,0.000122,3.741535,3.316529,1.814406,1.112087,0.615384,1.106226,0.801098,0.883760,3.320509,3.318678,0.802343,5.122820,5.130860,0.000000
1.700054,1,0.000976,0.130775,0.243007,0.000000,0.000000,0.180547,0.274236,0.830490,0.000000,0.000000,0.002930,0.000000,3.734111,3.311889,1.805126,1.106959,0.611355,1.110622,0.800732,0.883223,3.321425,3.318678,0.801757,5.134880,5.132200,0.000000
1.750054,1,0.000000,0.130775,0.242031,0.004880,0.000000,0.177619,0.272284,0.830490,0.000000,0.000122,0.002930,0.000000,3.730399,3.318385,1.805615,1.112820,0.612087,1.102929,0.799267,0.883760,3.322341,3.317762,0.801757,5.132200,5.126840,0.000000
1.800054,1,0.000000,0.133702,0.243982,0.005856,0.000000,0.179571,0.277164,0.821560,0.000000,0.000000,0.002991,0.000000,3.714624,3.320241,1.807080,1.110255,0.603662,1.110988,0.799267,0.883491,3.323257,3.318678,0.802930,5.130860,5.126840,0.000000
1.850054,1,0.001952,0.134678,0.245934,0.000976,0.000000,0.178595,0.273260,0.821560,0.000000,0.000061,0.002930,0.000000,3.726687,3.310033,1.813917,1.113918,0.615018,1.109889,0.801464,0.883491,3.321425,3.318678,0.802637,5.134880,5.129520,0.000000
1.900054,1,0.000000,0.138582,0.243982,0.004880,0.000000,0.192258,0.274236,0.821560,0.000000,0.000000,0.002869,0.000000,3.726687,3.311889,1.809034,1.107325,0.612820,1.107691,0.800365,0.882954,3.322341,3.317762,0.801465,5.134880,5.134880,0.000000
1.950056,1,0.003904,0.135654,0.242031,0.005856,0.000000,0.176643,0.272284,0.830490,0.000000,0.000000,0.002930,0.000000,3.717408,3.327664,1.813917,1.113918,0.606959,1.102929,0.800365,0.883760,3.322341,3.316846,0.801465,5.122820,5.129520,0.000000
2.000054,1,0.003904,0.125895,0.241055,0.003904,0.000000,0.179571,0.272284,0.812630,0.000000,0.000061,0.003053,0.000000,3.741535,3.340656,1.807080,1.106959,0.615750,1.112087,0.801464,0.883491,3.320509,3.316846,0.802051,5.134880,5.128180,0.000000
2.050054,1,0.002928,0.134678,0.243982,0.002928,0.000000,0.176643,0.273260,0.830490,0.000000,0.000061,0.002991,0.000000,3.722048,3.333232,1.805615,1.114285,0.602564,1.110622,0.800365,0.883760,3.320509,3.319594,0.802051,5.140240,5.122820,0.000000
