duration_s,active,3V7_WL_SW_A current(0),3V3_SYS_A current(1),1V8_SYS_A current(2),DDR_VDD2_A current(3),DDR_VDDQ_A current(4),1V1_SYS_A current(5),0V8_SW_A current(6),VDD_CORE_A current(7),3V3_DAC_A current(17),3V3_ADC_A current(18),0V8_AON_A current(16),HDMI_A current(22),3V7_WL_SW_V volt(8),3V3_SYS_V volt(9),1V8_SYS_V volt(10),DDR_VDD2_V volt(11),DDR_VDDQ_V volt(12),1V1_SYS_V volt(13),0V8_SW_V volt(14),VDD_CORE_V volt(15),3V3_DAC_V volt(20),3V3_ADC_V volt(21),0V8_AON_V volt(19),HDMI_V volt(23),EXT5V_V volt(24),BATT_V volt(25)
0.000000,0,0.000976,0.127847,0.241055,0.005856,0.000000,0.178595,0.273260,0.732260,0.000000,0.000244,0.002991,0.000000,3.719264,3.310033,1.812941,1.110622,0.602930,1.107691,0.800365,0.882954,3.321425,3.319594,0.801757,5.124160,5.138900,0.000000
0.050058,0,0.001952,0.133702,0.238127,0.004880,0.000000,0.181523,0.274236,0.732260,0.000000,0.000061,0.002991,0.000000,3.714624,3.310033,1.814894,1.107325,0.605860,1.102929,0.799999,0.882148,3.321425,3.319594,0.802343,5.129520,5.125500,0.000000
0.100056,0,0.000000,0.128823,0.240079,0.003904,0.000000,0.182499,0.274236,0.714400,0.000000,0.000000,0.002747,0.000000,3.741535,3.310033,1.806592,1.113552,0.614285,1.104761,0.801098,0.883760,3.322341,3.320509,0.801171,5.128180,5.121480,0.000000
0.150056,0,0.001952,0.144438,0.239103,0.003904,0.000000,0.178595,0.272284,0.562590,0.000000,0.000061,0.002991,0.000000,3.741535,3.322097,1.810987,1.108790,0.615384,1.109156,0.799267,0.772282,3.324172,3.319594,0.801757,5.132200,5.122820,0.000000
0.200056,0,0.002928,0.131751,0.237151,0.002928,0.000000,0.179571,0.275212,0.544730,0.000000,0.000122,0.002747,0.000000,3.726687,3.302609,1.804638,1.114651,0.615018,1.102929,0.799633,0.752942,3.321425,3.318678,0.801757,5.128180,5.124160,0.000000
0.250056,0,0.002928,0.137606,0.236175,0.007807,0.000000,0.179571,0.271309,0.544730,0.000000,0.000061,0.003053,0.000000,3.707200,3.313745,1.800731,1.110255,0.614285,1.110255,0.800365,0.752136,3.320509,3.318678,0.802343,5.129520,5.126840,0.000000
0.300056,0,0.000976,0.127847,0.237151,0.001952,0.000000,0.178595,0.271309,0.535800,0.000000,0.000061,0.003419,0.000000,3.710912,3.316529,1.816848,1.113552,0.615750,1.104761,0.801464,0.752405,3.322341,3.317762,0.802051,5.126840,5.125500,0.000000
0.350057,0,0.000000,0.131751,0.243982,0.091737,0.010294,0.179571,0.339624,0.785840,0.000000,0.000000,0.003175,0.000000,3.714624,3.310033,1.813429,1.112087,0.600366,1.108424,0.800732,0.883223,3.321425,3.317762,0.802343,5.133540,5.126840,0.000000
0.400057,0,0.000000,0.132726,0.237151,0.000000,0.000000,0.176643,0.270333,0.723330,0.000000,0.000061,0.002930,0.000000,3.718336,3.310033,1.809034,1.113552,0.601831,1.110622,0.799267,0.882417,3.321425,3.317762,0.802051,5.128180,5.122820,0.000000
0.450057,0,0.002928,0.134678,0.237151,0.000000,0.000000,0.176643,0.273260,0.732260,0.000000,0.000000,0.002930,0.000000,3.719264,3.315601,1.806592,1.107325,0.609157,1.108058,0.799633,0.882685,3.321425,3.319594,0.802051,5.122820,5.126840,0.000000
